,Unnamed: 0,utterance,emotion
0,0.0,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust
1,1.0,"ok, chalo rosesh chalo bahar",contempt
2,2.0,momma! hath chhodiye dad!,anger
3,3.0,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral
4,4.0,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral
5,5.0,kaikai pe joke maroge to manthra thodi na hasegi,contempt
6,6.0,very funny,contempt
7,7.0,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral
8,8.0,hi guys,joy
9,9.0,hi,joy
10,10.0,"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral
11,11.0,"ok maya, chalo rosesh tumhen bahar fenk au",neutral
12,12.0,mom! diwali ka lunch hamare ghar pe,joy
13,13.0,aur mein khana fresh banane wali hun,joy
14,14.0,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral
15,15.0,"ok maya, chalo monisha tumhe bahar fenk aau",neutral
16,16.0,"ha ha ha, indravadan you are so funny",joy
17,17.0,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral
18,18.0,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt
19,19.0,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral
20,20.0,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy
21,21.0,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt
22,22.0,rosesh beta happy diwali!,joy
23,23.0,you bet momma.,neutral
24,24.0,"rosesh bete, diwali mubarak ho!",joy
25,25.0,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness
26,26.0,how can you say that rosesh?,neutral
27,27.0,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy
28,28.0,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral
29,29.0,meri cesarean delivery hui thi indravadan!,neutral
30,30.0,aur mithaai kaun si bati thi?,neutral
31,31.0,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral
32,32.0,dry fruits ke boxes baate the indravadan!,neutral
33,33.0,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",neutral
34,34.0,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",sadness
35,35.0,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",joy
36,36.0,jaisa laga so laga tumhen achcha laga na?,contempt
37,37.0,haan.,joy
38,38.0,to tang do kahin bhi,neutral
39,39.0,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",joy
40,40.0,yah plastic ke stickers tumne kahan se khariden?,contempt
41,41.0,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,joy
42,42.0,aur tumne le liye?,neutral
43,43.0,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,joy
44,44.0,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,neutral
45,45.0,haan chalo maya,neutral
46,46.0,ek minute! mom-dad aap donon kahan ja rahe ho?,neutral
47,47.0,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",sadness
48,48.0,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",sadness
49,49.0,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",neutral
50,50.0,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,neutral
51,51.0,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",neutral
52,52.0,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",sadness
53,53.0,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",neutral
54,54.0,momma please aap...,neutral
55,55.0,acha! nahin jaaungi main!,neutral
56,56.0,hum! hum nhi jaenge bete!,neutral
57,57.0,momma!!,joy
58,58.0,chalo inki katti khatam ho gyi!,joy
59,59.0,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",joy
60,60.0,radha bai! vitthal! monisha!,neutral
61,61.0,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",fear
62,62.0,tumhari favourite jeans mein itna bada chhed hai!,disgust
63,63.0,han to aajkal wo chhed wale kapde pehna fashion mein hai.,neutral
64,64.0,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",contempt
65,65.0,radha bai! rosesh!,neutral
66,66.0,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",joy
67,67.0,indu! tumhi uthakar ke fenk do bahar chalo.,neutral
68,68.0,haila yah to meri favourite chocolate ka dibba hai maya!,surprise
69,69.0,tumhari favourite chocolate expire ho chuki hai,neutral
70,70.0,"rahane do na maya, kam aaegi",neutral
71,71.0,kya kam aaegi?,neutral
72,72.0,main kha lunga,neutral
73,73.0,indu ismein zahar faila hoga,neutral
74,74.0,to tum kha lena,neutral
75,75.0,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,neutral
76,76.0,yeah do mein se ek ungali select karo nahin fir se fir se ab,neutral
77,77.0,i have got my answer indravadan,sadness
78,78.0,rosesh kahan the tum? kab se chilla rahi hoon!,neutral
79,79.0,yeh aapka letter...,sadness
80,80.0,letter?,surprise
81,81.0,jo aapane dad ko likha tha mere paida hone se pahle!,sadness
82,82.0,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,contempt
83,83.0,bahut jald vah din wapas laut aaenge dad,sadness
84,84.0,kyon aisa kah rahe ho kya hai is letter main?,neutral
85,85.0,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,sadness
86,86.0,rosesh! this is supremely middle class!,contempt
87,87.0,ok main aapka unwanted child hun,sadness
88,88.0,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",neutral
89,89.0,rosesh chup ho jao. monisha pani lekar aao!,anger
90,90.0,kaunsa wala laun?,neutral
91,91.0,kaunsa wala matlab?,neutral
92,92.0,isme lahsun ka tadka gira tha aur ismein ballpen.,neutral
93,93.0,ball pen leak ho rahi thi?,neutral
94,94.0,nahi,neutral
95,95.0,to vah wala pani lekar aao,neutral
96,96.0,okay,neutral
97,97.0,hello mujhe batao tum ro kyon rahe ho?,anger
98,98.0,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",sadness
99,99.0,mom bhi?,neutral
100,100.0,haan.,sadness
101,101.0,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,neutral
102,102.0,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",sadness
103,103.0,yah lijiye,neutral
104,104.0,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,disgust
105,105.0,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,contempt
106,106.0,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,neutral
107,107.0,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",sadness
108,108.0,mummy ji ne aapko marne ki koshish ki?,neutral
109,109.0,tum monisha ke kapde pahan ke khade the? haan to kyun?,neutral
110,110.0,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",sadness
111,111.0,what nonsense rosesh?,anger
112,112.0,aisa khat mein likha hai unhone,sadness
113,113.0,to mom ke pass us baat ka koi explanation hoga rosesh.,neutral
114,114.0,lekin unhone aisa socha hi kyon?,sadness
115,115.0,rosesh unhone sirf esa socha hai kiya to nahin na?,anger
116,116.0,han rasesh bhaiya dekhiae na main apna purana kurta kitni bar fenk dene ka sochti hoon lekin fekti thodi hoon,neutral
117,117.0,monisha tumhare phate hue kurte mein aur rosesh mein thoda fark hai.,neutral
118,118.0,koi fark nahin hai sahil bhai. main bhi phat chuka hun is purane kurte ki tarah!,sadness
119,119.0,aur donon ka colour bhi same hai. dekho. off white.,neutral
120,120.0,see the coincidence!,sadness
121,121.0,are han! rosesh me sirf hook nahin hai...,anger
122,122.0,momma aap mujhse dur hi rahe to behtar hoga,sadness
123,123.0,batao phool khushbu se dur rah sakta hai?,neutral
124,124.0,yah line seriously middle class nahin hai?,contempt
125,125.0,han hai. lekin maine socha ki agar main thoda poetic language main tumse baat karun to... lekin batao na phool khushbu se dur ho sakta hai?,neutral
126,126.0,"phool aur khushbu ek dusre se dur rah sakte hain momma, agar phool plastic ke ho to.",sadness
127,127.0,nahin nahin please baby apne aap ko plastic ka phool mat kaho,sadness
128,128.0,momma plastic ka phool maine aapko kaha hai. main to bloody fool hun! jo itne salon se soch raha tha ki kisi ko jarurat ho na ho lekin meri momma ko meri jarurat hogi,sadness
129,129.0,han to hai na beta hai,neutral
130,130.0,aap jhooth bol rahi hai momma. aap to mere paida hone ke pahle hi...,sadness
131,131.0,rosesh baby wo to sirf ek khayal tha.,neutral
132,132.0,matlab khyal tu aaya tha na mera khoon karne ka,sadness
133,133.0,rosesh please don't exaggerate. uss waqt meri tabiyat bahut weak thi. dr. jhunjhunwala ne to kaha bhi tha ki teesra bachcha hone mein meri jaan ko khatra hai!,neutral
134,134.0,matlab aapane apni jaan bachane ke liye meri jaan...,sadness
135,135.0,"jo sawal apne dad se kiya vahi sawal main aapse karta hun momma, agar bhagwan aap se poochenge ki kisi ek ki jaan ko dena jaruri hai, to aap meri hi jaan dengi na?",sadness
136,136.0,"no no i swear baby no! never! mein tumhari jaan kabhi na deti! main bhagwan ko samjhati ki bhagwan rosesh to aap hi ki den hai duniya ko, aap uski jaan mat lijiye. uske badle samne ke ghar ko dekhiye. vahan ek jaan hai jo sara din bhains ki tarah tv ke samne padi rahti hai!",contempt
137,137.0,monisha bhabhi ki baat chhodiye. lekin use waqt to aapane apni hi jaan ki parvah ki thi na momma!,neutral
138,138.0,"main na karti rosesh, lekin sahil aur sonia chote chote the aur bai kam chhod kar ke chali gai thi. main khud un donon ko school le jaya karti thi. aur jab hamari gadi kharab ho gai to maine taxi se safar kiya hai lekin uff tak nahin ki. fir part time nauker kam chod ke bhag gya! to maine unke kapde istri kiye hain. inn taklifo ke beech jab mujhe pata chala ki mujhe teesra bachcha hone wala hai, to main qubool karti hun ki ek second ke liye mere man mein yah vichar aaya, to kya maine gunah kiya?",sadness
139,139.0,sorry main ab yahan nahin ruk sakta,sadness
140,140.0,tu kahan jaaoge tum?,sadness
141,141.0,wahin jahan kisi ko meri jarurat ho.,neutral
