,utterance,emotion
4,मेरे कर्तव्य ठीक है।,surprise
10,मैं तुम्हें नहीं जानता,fear
12,वास्तव में,surprise
14,लेकिन फिर कौन मैं पिछले महीने से बाहर निकल गया,surprise
15,नहीं नहीं कौन थे,surprise
21,मैं कभी नहीं हूँ।,joy
22,क्रिस कहते हैं कि वे बार को बंद कर रहे हैं।,sadness
23,नहीं,surprise
25,मुझे मिला।,sadness
28,You betcha,joy
30,हे मेरे परमेश्वर Poor Monica,surprise
31,क्या क्या,surprise
32,क्या,surprise
36,वह सोचता है कि मोनिका खाली है वह खाली फूलदान है,surprise
37,ओह पूरी तरह से। ओह भगवान ओह वह भी बहुत खुश लग रहा था।,sadness
39,आप यहाँ क्या कर रहे हैं,surprise
45,ओह अच्छी तरह से मैंने जिस महिला के साथ साक्षात्कार किया वह बहुत कठिन था लेकिन मैं भगवान मार्क को धन्यवाद देना चाहता हूं क्योंकि एक बार मैंने पतन लाइन के बारे में बात करना शुरू कर दिया उसे सभी खुश हो गया और क्या बंद हो गया।,joy
46,मुझे तुम पर गर्व है।,joy
47,मुझे भी,joy
54,हर कोई,surprise
55,गुड जॉय अच्छा शीर्ष पायदान,joy
56,आप इसे पसंद करते हैं आप वास्तव में इसे पसंद करते हैं,surprise
57,ओहहोहो हाँ,joy
61,तुम सो जाओ,anger
62,कोई kangaroo नहीं था,anger
65,क्या,sadness
66,मैं,sadness
67,मैं,sadness
68,देखो,surprise
69,उस पर पागल हो जाओ,anger
75,महान ठीक है यहाँ।,joy
77,धन्यवाद। धन्यवाद। धन्यवाद और,joy
81,क्या आप एक पल में पकड़ सकते हैं मेरे पास एक और कॉल है। मैं उससे प्यार करता हूँ।,joy
87,ठीक ठीक अंत में एक फोन भुगतान किया गया है।,joy
90,हे मेरे देवता। आप शुद्ध बुराई हैं।,disgust
91,कोई नहीं,anger
92,कोई भी बाल्टी का सम्मान नहीं करता,anger
93,देखो,anger
94,क्या यह आपके लिए एक कचरा जैसा दिखता है,anger
98,यहां आप पाउबे जाते हैं यहाँ आप Phobo जाओ Fewbedo फैबोबो,joy
101,सब ठीक है चलो बाय Feebs,joy
102,Bye Pheebs,joy
103,लंदन,joy
104,क्या आपको ह्यूग की आवश्यकता है मुझे कुछ भी नहीं मिला,joy
105,हे इसलिए एस्टेले ने कल मेरे लिए ऑडिशन का एक गुच्छा तैयार किया और मैं अपने स्वास्थ्य बीमा को वापस नहीं लेगा।,joy
106,क्या,surprise
108,ठीक है मैं अपने पेट में इस अंधापन दर्द को मिला जब मैं पहले वजन उठा रहा था तो मैं उह से बाहर हो गया और उह क्या हुआ तब से खड़े होने में सक्षम नहीं रहा।,fear
110,यह हर्निया की तरह लगता है। आपके पास क्या है,surprise
111,नहीं अगर मुझे डॉक्टर के पास जाना है तो क्या,fear
112,मुझे फिर से काम करना क्यों था आप s,anger
113,मैं तुम्हारी जगह प्यार करता हूँ यह लड़का कहां से है,joy
115,ओह वाह इसलिए आप सिर्फ डायनासोर से अधिक हैं।,surprise
120,वास्तव में,surprise
123,बाहर जाओ,anger
126,Uh well जो और मैं टूट गया।,sadness
127,क्या हुआ,surprise
128,Joey एक महान आदमी है लेकिन हम सिर्फ इतना अलग मेरा मतलब है अपने भाषण के दौरान उन्होंने समलैंगिकता पर हंसते हुए कहा,sadness
129,वैसे भी मैं सिर्फ उह मुझे लगता है कि यह सबसे अच्छा है।,sadness
131,मुझे लगता है।,sadness
137,ठीक है,anger
138,कृपया,anger
139,क्या हम इसके लिए थोड़ा पुराना नहीं हैं,anger
140,सबसे महत्वपूर्ण बात यह है कि आप पहले हमें पकड़ना होगा।,joy
142,जाओ जाओ जाओ,joy
143,जाओ जाओ जाओ,joy
144,ओह हाँ अब हर कोई इस टोपी के नीचे होना चाहता है,joy
145,क्या,surprise
148,ठीक है यह देखते हैं कि अंधा लड़का कहां है मैं बाद में अपने सिर को तोड़ रहा हूँ।,anger
149,ओह उम मेरा बड़ा दृश्य आ रहा है। बड़ा दृश्य आया।,joy
152,ओह बॉय मैं सिर्फ नहीं देख सकता। यह बहुत डरावना है,fear
154,ओह योआ अच्छी तरह से आप मुझे पता है शिशुओं जिम्मेदारियों आह,fear
155,पिज्जा डिलीवरी,joy
156,मैं इसे प्राप्त करूँगा मुझे लगता है,joy
157,हाय,joy
158,हाय,joy
162,हे रॉस यह महान नहीं होगा अगर हम इसे छोड़ने के बिना दो सीधे घंटे जा सकते हैं,joy
164,नमस्ते,joy
165,उहओह,fear
167,मैं नहीं सोचा था कि हम इसे बनाना चाहते थे,surprise
168,मैं जानता हूँ क्या हाथ स्विच नहीं करते हैं,fear
172,ओह अविश्वसनीय हम सबसे अच्छा समय था,joy
173,जय क्या आप अभी नहीं जानते,joy
174,तुम लोग बिल्कुल सही थे,joy
175,पहली बार जब हम बाहर निकल गए तो यह बहुत बेहतर है।,joy
180,हमारे पास बहुत आम है,joy
181,हे मेरे परमेश्वर क्या आप बच्चों के बारे में बात करते हैं ओह मेरा जो ओह कृपया मुझे क्या करना चाहिए,surprise
183,वह कैसे करती है,surprise
185,ओह क्या हाय।,surprise
187,आपके साथ क्या चल रहा है,surprise
188,मुझे नींद नहीं मिली,anger
190,मेरी दादी के पास यह नया प्रेमी है और वे दोनों तरह के बिस्तर में असुरक्षित हैं।,disgust
193,आपके पास कोई विचार नहीं है कि वे कितनी ज़ोर से हैं,disgust
195,धन्यवाद।,joy
196,Ew क्या है कुछ विस्फोट,disgust
198,क्या आप जानते हैं क्या है,surprise
200,क्या आप पागल हैं मेरा मतलब है जॉय आपको मारने जा रहा है वह वास्तव में आपको मृत घोषित करने जा रहा है।,surprise
201,आप किस तरह जानते हैं,surprise
206,आप देख सकते हैं नहीं बताओ कि कौन क्या है,surprise
210,Pahaa मैं आपसे प्यार करता हूँ।,joy
211,वास्तव में,surprise
214,ओके मैं तुम्हारे लिए मेरे साथ जाने के लिए प्यार करता हूँ। क्या,joy
215,मुझे क्या पहनना चाहिए,fear
216,मैं जानता हूँ कि हमने ऐसा किया था  हे,joy
217,मुझे पता है यह अद्भुत था मेरा मतलब है हम पूरी तरह से इसे नाखूनित करते हैं यह सुंदर था।,joy
218, धन्यवाद सुनो बहुत धन्यवाद Tribbiani धन्यवाद। हे मेरे परमेश्वर उस समय को देखते हुए मुझे बस को गेंद पर पकड़ना पड़ा।,joy
226,वास्तव में,surprise
230,क्या यह एक अच्छा संकेत है कि उन्होंने हमें ऑडिशन के बाद लटकाने के लिए कहा,surprise
233,हाँ मुझे पता था बाई लंबे समय तक बाद में,joy
234,ओह मैं वास्तव में बेन के पिताजी खेलने के लिए हो सकता है,joy
235,हाँ,joy
241,ठीक है ठीक है ठीक है नमस्ते ठीक है यहाँ कुछ है यहाँ कुछ नीला और नया है।,joy
242,और यह तुम सब के कारण अद्भुत अद्भुत तुम,joy
243,मुझे लगता है कि तुम क्या हुआ,fear
244,नहीं मैं धन्यवाद।,joy
245,आपका स्वागत है मैं क्या मैं तुम्हें चोट लगी,fear
246,वाह यह बात दिलचस्प थी मुझे नहीं पता कि क्या फीबे और डेविड के साथ होता है।,surprise
248,डेविड पोबे का प्रस्ताव करने जा रहा है।,joy
249,क्या क्यों,surprise
250,चांदलर ने इस बारे में बात की है।,anger
251,आपको लोगों को सलाह देने की आवश्यकता नहीं है,anger
253,वे केवल कुछ हफ्तों के लिए बाहर जा रहे हैं और फीबे पूरी तरह से माइक पर लटका दिया है,anger
256,यह आपको पॉल से मिलने के लिए बहुत अच्छा है।,joy
259,तो रॉस क्या आपकी समस्या,anger
260,Ehwh,surprise
261,क्यों,anger
262,यह अजीब है। Umm यह अजीब नहीं है।,fear
266,लेकिन मुझे लगता है कि अगर आप मुझे यूएमएम देते हैं तो मैं एक मौका दे सकता हूं मैं आपका दिमाग बदल सकता हूं।,fear
269,ओके मैं तुम्हें अपने दिमाग को बदलने का मौका देता हूँ। आपको एक मिनट मिला।,anger
270,डैडी,surprise
275,ओहूह,surprise
277,क्या यह,surprise
279,क्या,surprise
281,ओह,surprise
282,अभिनेत्री,surprise
284,आप क्या कर रहे हैं,surprise
285,आपको बताना होगा,joy
286,आपको बताना होगा,joy
289,वह मुझे नफरत करता है।,fear
291,यह बड़ी रात है हम आपको शुभकामनाएं चाहते थे,joy
294,ओह,surprise
298,आप सुंदर हैं।,joy
299,ओह धन्यवाद क्या,joy
304,हाँ यह बहुत अच्छा है,joy
310,क्या आप पूरी तरह से शर्मिंदा हो जाओ,surprise
314,हेली लेडी क्या आप चाहते हैं नमस्कार मैं हूँ,disgust
315,मैं क्या कर सकता हूँ,surprise
316,मैंने किया,joy
317,मैं एक बाइक सवार,joy
318,मैं कभी सोचा नहीं,joy
319,धन्यवाद रॉस।,joy
320,ओह हे मुझे धन्यवाद देना धन्यवाद देना। आप क्या वह है जो उसके डर का सामना करता है और अंततः उन्हें ओवरकैम करता है।,joy
327,Phoebe हाय,joy
328,हे मेरे परमेश्वर,surprise
329,वाह आप अविश्वसनीय लगते हैं।,joy
330,हाँ। आप यहाँ क्या कर रहे हैं,surprise
331,क्या हुआ,surprise
334,खैर आठ साल के शोध के बाद मैंने पाया कि यह नहीं किया जा सकता है।,sadness
335,खैर यह बहुत अच्छा है कि आप वापस आ गए हैं आप कैसे हैं,joy
336,अच्छा,joy
338,माइक और मैं टूट गया।,sadness
339,इसका मतलब यह है कि हम कोशिश कर रहे हैं लेकिन एक अच्छा मौका है जो हमारे लिए कभी नहीं हो सकता है।,sadness
340,हे मेरे परमेश्वर,surprise
341,मुझे खेद है।,sadness
342,मुझे भी क्षमा करना चाहिए।,sadness
344,वाह यह बहुत अच्छा लग रहा है,joy
347,क्या आप इन लोगों से शादी करते हैं,surprise
349,हाँ उन्हें लगता है कि वे मुझे कुछ गंदा फिल्म और मशुगा नट्स के बैग के लिए चार्ज कर सकते हैं उन्हें एक और सोच आ रही है।,anger
350,हे,surprise
351,मेरे स्वेटर,surprise
352,मैं इस बात की तलाश में रहा हूँ,surprise
353,हे मेरे परमेश्वर,surprise
354,हे मेरे परमेश्वर,surprise
355,क्यों,anger
356,हुह,surprise
357,क्योंकि मुझे यकीन है कि वह क्या कर सकता है,anger
358,स्वादिष्ट मैं वास्तव में ऐसा महसूस करना शुरू कर रहा हूं जैसे आप लोग एक इतिहास रखते हैं यह,joy
365,यह नहीं कह सकता कि स्क्रिप्ट में।,anger
370,हाँ अगर वे अपने दोस्तों को किसी भी स्मारिका लाते हैं तो उन्हें पूछो,joy
372,हे आपको उस स्थान पर भोजन विषाक्तता सिर्फ बात करनी चाहिए,disgust
374,नमस्ते यह फिर से डेली है,surprise
375,सब ठीक मैं एक सैंडविच हूँ,joy
376,गोटा जाओ। मैं तुम्हें भी याद करता हूँ मैं तुमसे प्यार करता हूँ लेकिन अब यह वास्तविक देर हो रही है,sadness
377,हे मा। सुनो मैंने डॉ। बज़दा के साथ नियुक्ति की। मुझे क्षमा करें क्या आप जानते हैं कि यह नहीं है,surprise
381,तब से,surprise
388,आप बात करना चाहते हैं।,disgust
390,बेशक ems Ma में से एक है।,surprise
392,नमस्ते मैं गुरु SajWhoa हूँ  कि अन्यथा यह मेरी लीग से बाहर है।,surprise
401,यह क्या है,surprise
403,हाँ,joy
404,हम दांत लोग ज़ैक हैं,joy
405,मुझे क्या कहना है,sadness
408,क्योंकि हमने अपना अपार्टमेंट वापस जीता,joy
409,क्या ऐस उच्च है जैक रानी राजा एसी,surprise
410,मैं नहीं जानता हूँ। ओह ओह इसे देखो Ahha,surprise
413,उहहुह उतना अधिक नहीं जितना कि यह काम करता है राजा,surprise
414,हाँ,joy
415,लेकिन हम फिर से चुनते हैं हम फिर से चुनते हैं,joy
417,टिकट कृपया कि,joy
418,गंभीर रूप से हालांकि अच्छा खेल। अच्छा खेल। क्या वे इतने पागल हैं वे वापस अपार्टमेंट प्राप्त करते हैं,surprise
428,ओह गंभीरता से आप उसे चाहते हैं,surprise
430,ठीक है मत सोचो मुझे नहीं सोचो,surprise
432,ओह हाँ। वह उस महान बच्चे की गंध है। अपने सिर का एक whiff प्राप्त करें।,joy
441,जोय इतना मीठा है।,joy
444,मैं क्या कर सकता हूँ,sadness
445,आप क्या कर सकते हैं,surprise
447,क्या आप फिर से उसके साथ जा रहे हैं,surprise
450,हाँ वह क्या था,surprise
452,Joey क्या आप जानते थे,surprise
453,सुबह हे मेरा पसंदीदा प्रतिभाशाली और मेरा छोटा रोबोट दोस्त,joy
454,क्या,anger
455,नमस्ते,surprise
459,मैं इन सभी अफवाहों को सुनता हूं कि मैं आग लगा सकता हूं।,fear
460,आह,surprise
461,क्यों तुमने,surprise
464,Stupid,anger
465,मैं क्या कर सकता हूँ,surprise
466,परमेश्वर,anger
470,क्या क्या आप मुझे अपने कार्यालय से बाहर फेंक सकते हैं,anger
471,नहीं,anger
472,Yeah अच्छी तरह से मेरी शादी की सालगिरह पर मेरी प्रेमिका के साथ होने की इच्छा के लिए मुझे मना करते हैं लड़का क्या मैं हूँ।,anger
473,लेकिन मैंने आपको बताया मैंने क्या किया,anger
474,हाँ अच्छी तरह से आपके पास कभी भी समय नहीं है। मेरा मतलब है मुझे ऐसा नहीं लगता कि मेरे पास अब भी एक प्रेमिका है राहेल।,anger
475,क्या आप चाहते हैं,anger
476,आप चाहते हैं कि आप मुझे अपना काम छोड़ दें ताकि आप अपनी प्रेमिका की तरह महसूस कर सकें,anger
488,हाय,joy
489,रिचर्ड,joy
494,ठीक है यह आपको दूसरी रात देखने के लिए बहुत अच्छा था।,joy
496,नहीं मैं आपको कुछ और बताने के लिए यहां आया था। मैं आपको बताता हूँ कि मैं अभी भी आपसे प्यार करता हूँ।,joy
497,शायद खैर Wellsouh ओह इसे भूल जाओ मैं क्या कर सकता हूँ,anger
498,Joey मैं इस बारे में मौत के लिए डर गया हूँ।,fear
499,लेकिन मुझे वास्तव में लगता है कि मैं ऐसा कर सकता हूँ मैं,fear
501,मैं हूँ और अपने पहले के सवाल का जवाब देने के लिए हम,joy
502,देखो राहेल मुझे बताया कि आप कितना आसान थे क्यों,anger
503,तुम मेरे भाई हो,joy
506,मैं तुम्हें बताने से डर गया था।,fear
507,Joey मैं क्या कर सकता हूँ मैं इस बच्चे को मेरे साथ पागल होने के बारे में सोचा नहीं है।,sadness
508,मैं चाहता हूँ कि उसका चाचा हो।,sadness
509,क्या मेरे बच्चे का जन्म उनके अंकल जॉय है,sadness
510,बेशक वह,joy
511,हम क्या हैं मेरा मतलब है कि अगर हम शादी नहीं करते तो यह बच्चा इतना प्यार करता है। हमारे द्वारा नहीं।,joy
512,यह सही है अपने चाचा भी,joy
513,आपके द्वारा,joy
515,मेरे पास बहुत अच्छा समय था।,joy
516,इसलिए मैंने किया। मुझे बहुत खुशी है कि मोनिका ने हमसे पूछा।,joy
518,क्या आप बहन हैं क्या आप अपनी बहन को सोते हैं ओह मैंने देखा,surprise
520,हाय,joy
521,तुमसे मिलने के लिए अच्छा है। मैं चाहता हूँ कि तुम मुझे बताओ कि हम कंपनी कर रहे थे मैं खुद को ठीक कर रहा हूँ,surprise
524,हे मेरे भगवान यह विक्टोरिया के गुप्त मॉडल है। कुछ,surprise
526,वह सही है यह जिल है। जिल गुडाक्र हे मेरे परमेश्वर। मैं जिल गुडएकर के साथ एक एटीएम वेस्टिबुल में फंस गया हूं,surprise
530,ओह कुछ लोग कुछ लोग हाय जिल मैं तुम्हें पिछले रात कुछ आदमी के साथ देखा। हाँ वह था,joy
534,वहाँ,surprise
540,महान नौकरी टीम,joy
542,अच्छा काम।,joy
543,कैसे जाने के लिए,joy
544,जोएलबर्ग आप पागल,joy
545,मैं प्यार करता हूँ,joy
546,बिंग,joy
547,अच्छा काम नहीं,joy
552,हाँ हाँ मैं,sadness
554,हे कैसे,joy
556,Toby,joy
557,हाँ,joy
561,वास्तव में वे उसे छह पर प्यार करते हैं।,surprise
563,हे मुझे आपकी शादी के लिए क्या मिला,joy
565,नहीं। राहेल ने मुझे एक टक्स के साथ हुक अप किया लेकिन सिर्फ कोई tux नहीं बैटमैन,joy
566,क्या,surprise
567,यह सही है Val Kilmer के लिए स्पष्ट रूप से बनाया गया और हिट फिल्म में उनके द्वारा पहना गया था।,joy
568,क्या आप पहन सकते हैं मैं जेम्स बॉन्ड,anger
570,यदि आप पहनते हैं कि आप मुझे कम खास बना देंगे।,sadness
575,Oo आप में से एक होना चाहिए,joy
577,नहीं नहीं यह क्या है किसी को इंटरनेट पर ऑर्डे किया जा सकता है और शादियों और सामान की तरह प्रदर्शन कर सकता है,joy
578,क्या आप गंभीर हैं,surprise
579,हाँ मेरे दोस्त ने यह किया और यह पूरी तरह से कानूनी था,joy
580,मैं इसे बुलाता हूँ ,joy
581,क्या नहीं यह मेरा विचार था,anger
583,क्या यह अब कुछ भी मतलब नहीं है,anger
585,देखें मैं देखता हूँ आपके भविष्य में बड़ा जुनून।,joy
586,वास्तव में,surprise
588,ओह रॉस आप बहुत अच्छे हैं। वह अपने सिर को पूरी तरह से रगड़ता है और उठता है,joy
593,क्या,surprise
596,Aw शहद यह आपकी गलती नहीं है तो क्या यह है कि आप कौन हैं और मैं आपको प्यार करता हूं और मैं चाहता हूं कि हम दोस्त बनें और अगर मैं यहां रहता हूं तो मैं क्या करता हूं,sadness
597,मैं भी तुमसे प्यार करता हूँ।,joy
598,क्या मैं,sadness
600,हे मेरे परमेश्वर क्या आप गंभीर हैं,surprise
602,मैं आपको रॉस के साथ रहना चाहूंगा कि धन्यवाद,joy
604,रॉसRos आपको कोई विचार नहीं है कि इसका क्या मतलब है,joy
605,मेरा मतलब है कि मैं बेघर हूँ।,sadness
606,तुमने मुझे बचाया,joy
607,तुम मेरी हीरो हो,joy
609,ओह मुझे मोनिका को बताने के लिए क्या वह एक अद्भुत भाई है,joy
614,Ugh ,disgust
618,शॉन,anger
621,उह सुनो मैं सिर्फ इस महान अवसर के लिए धन्यवाद करना चाहता हूँ।,joy
623,मुझे,surprise
624,यह बहुत अच्छा है।,joy
627,यह क्या है,surprise
629,वाह कि,joy
635,हम इसे नहीं फेंक रहे हैं मैंने उस कैनो का निर्माण किया,anger
639,यमन के लिए एक टिकट,surprise
641,मैं खेद हूँ मैं क्या नहीं जानता,surprise
647,यहां एक लड़कीचिक के साथ और वहां एक लड़कीचिकित्सक।,joy
648,यहाँ एक लड़की वहाँ एक लड़की हर जगह एक लड़कीचिकचिकीन।,joy
652,वह,surprise
659,ओह यकीनन बहिन के साथ जाओ।,disgust
660,जेसन एक बहिन नहीं है,anger
667,यह एक अद्भुत रात था।,joy
668,यह था। यह एक अद्भुत रात था।,joy
673,हैलो बेबी गर्ल।,joy
675,रेंजर,fear
676,हे मेरे परमेश्वर क्यों वह उन महिलाओं पर कूद रहा है,surprise
678,ओह लेकिन देखो कि,disgust
679,वास्तव में,surprise
684,मैं नहीं जानता कि लेकिन यह सुनिश्चित करने के लिए कि क्या किया अतिरिक्त में से एक हे रच सुनो। मेरे दृश्यों को देखने के लिए फिर से धन्यवाद,joy
685,हे कृपया हनी सिर्फ तथ्य यह है कि आप मुझे यहाँ समर्थन करने के लिए चाहते हैं मैं हूँOH MY GOD क्या यह ईसाई सैंडर्स है वह तो है,surprise
692,हे मेरे परमेश्वर मैं उससे प्यार करता हूँ,joy
693,आप बेहतर कार्य कर सकते हैं।,fear
695,मेरी आश्चर्य पार्टी,joy
696,क्या आश्चर्य पार्टी,surprise
699,यह इतना विशिष्ट है। मैं हमेशा सब कुछ जानता हूँ।,anger
701,Yuhhuh,anger
702,जैसा मैं पिछले करने के लिए दूसरा था देखो।,surprise
705,चांदलर वह अपने पिता को वह शादी में होना चाहिए।,anger
706,मैं नहीं जानता ओके हम क्यों नहीं हैं मैंने उन्हें साल में नहीं देखा है।,disgust
708,मैं तुम लोगों के साथ लटका और वह वेगास में एक ड्रैग शो में सितारों।,disgust
711,कोई भी दुल्हन में घोटाला नहीं है जब दूल्हे का पिता बैकलेस ड्रेस पहन रहा है।,disgust
717,Nono Rachel don वह हमें नहीं देख सकता,fear
718,इसके बाद नहीं,anger
730,और मैं वास्तव में मैंने खुद को सोचा वाह वे लोग पागल हैं,surprise
736,क्या यह अभी भी चोट लगी है,sadness
737,हाँ।,sadness
740,उत्कृष्ट।,joy
741,हमने उस जोड़े को अलग धकेल दिया और खुद के लिए टुकड़े रखा।,joy
743,आपके लिए शुभकामनाएँ,joy
746,यह बेकार है मुझे पता नहीं था कि मुझे रात में रहने से पहले मैं इस स्टुपिड नींद क्लिनिक में गया था मैं थक गया हूँ,anger
749,हाय,joy
753,क्या आप जानते हैं,anger
754,क्या,surprise
755,उन्होंने इस बात को इतना तेज कर दिया,disgust
757,मैं कह रहा हूँ कि तुम,joy
758,यह क्या है,surprise
759,क्या क्या आपने वास्तव में सोचा था कि मुझे क्या करना चाहिए,anger
760,यह बेकार है,anger
765,हे तुम लोग इस पर एक नज़र डालें इस बच्चे को बाहर की जाँच करें मुझे एक छेद खोदना,surprise
767,नहीं नहीं मेरे छेद ,surprise
768,क्या क्या क्या है,surprise
772,हे मेरे परमेश्वर ओह यह है मैं आप सिर्फ एक भयानक व्यक्ति हैं,disgust
773,वेटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवैटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाटवाट,fear
774,यदि आप इस बारे में क्या सोचते हैं,anger
775,मैं तुम्हें खोना नहीं चाहता।,sadness
778,इस तरह की बातें कहो।,joy
780,हो गया,joy
782,सोफी यहाँ जाओ,joy
783,मोनिका आप मुझे बहुत गर्व है। मुझे बस दो अविश्वसनीय रूप से प्यारा नर्सों के साथ तारीख मिली।,joy
784,हे मेरे,surprise
787,वैसे भी वे शनिवार की रात को हमें लेना चाहते हैं आप क्या कहते हैं,joy
788,क्या,surprise
789,क्या आप बात कर रहे हैं,surprise
793,क्या,surprise
807,यह लगभग मुझे चेहरे पर हिट करता है।,anger
809,हे,joy
810,हे,joy
811,YNO I,joy
812,ओह बॉय मुझे भी,joy
815,क्या आओ,joy
819,हाय तुमसे मिलने के लिए अच्छा,joy
832,नहीं,surprise
834,फिर भी यह क्या है,surprise
839,वास्तव में,surprise
840,UhhmmWait यह बेहतर हो जाता है। उम हाँ मैं बार्सिलोना में था।,joy
843,मैं प्यार करता हूँ,joy
844,क्या है मैं माउंट तिब्बडेबो की तलहटी के साथ लंबी पैदल यात्रा कर रहा था,joy
845,मैं इसे प्राप्त करता हूँ,joy
846,तो मैं तुम्हें दो बधाई देता हूँ मैं भी नहीं जानता,surprise
847,नहीं हम,fear
848,क्या,surprise
850,क्यों,surprise
869,हे इस बात पर बहुत सलाह,joy
871,ओह यह सही था मेरा मतलब है कि यह वास्तव में लगता है कि वह फिर से मेरे दोस्त थे।,joy
875,धन्यवाद माँ,disgust
876,बहुत अच्छा इसलिए अच्छा है।,joy
877,वास्तव में वास्तव में यह आनंद लिया। बहुत विदेशी।,joy
878,ठीक है मैंने सिर्फ अपने संदेशों की जांच की और जोशुआ ने,sadness
884,नहीं,anger
885,ओह,anger
886,मुझे लगता है कि किसी को किसी अन्य लैप नृत्य की जरूरत है।,joy
888,आप क्या करते हैं,surprise
889,क्या तुम खैर कि एक पेशेवर और एक layman के बीच अंतर है।,surprise
891,हे कैसे नौकायन किया गया था,joy
892,धन्यवाद,joy
893,हाँ,joy
895,कब आज कुछ नहीं,surprise
