,utterance,emotion
0,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust
1,"ok, chalo rosesh chalo bahar",contempt
2,momma! hath chhodiye dad!,anger
3,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral
4,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral
5,kaikai pe joke maroge to manthra thodi na hasegi,contempt
6,very funny,contempt
7,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral
8,hi guys,joy
9,hi,joy
10,"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral
11,"ok maya, chalo rosesh tumhen bahar fenk au",neutral
12,mom! diwali ka lunch hamare ghar pe,joy
13,aur mein khana fresh banane wali hun,joy
14,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral
15,"ok maya, chalo monisha tumhe bahar fenk aau",neutral
16,"ha ha ha, indravadan you are so funny",joy
17,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral
18,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt
19,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral
20,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy
21,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt
22,rosesh beta happy diwali!,joy
23,you bet momma.,neutral
24,"rosesh bete, diwali mubarak ho!",joy
25,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness
26,how can you say that rosesh?,neutral
27,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy
28,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral
29,meri cesarean delivery hui thi indravadan!,neutral
30,aur mithaai kaun si bati thi?,neutral
31,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral
32,dry fruits ke boxes baate the indravadan!,neutral
33,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",neutral
34,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",sadness
35,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",joy
36,jaisa laga so laga tumhen achcha laga na?,contempt
37,haan.,joy
38,to tang do kahin bhi,neutral
39,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",joy
40,yah plastic ke stickers tumne kahan se khariden?,contempt
41,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,joy
42,aur tumne le liye?,neutral
43,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,joy
44,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,neutral
45,haan chalo maya,neutral
46,ek minute! mom-dad aap donon kahan ja rahe ho?,neutral
47,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",sadness
48,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",sadness
49,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",neutral
50,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,neutral
51,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",neutral
52,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",sadness
53,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",neutral
54,momma please aap...,neutral
55,acha! nahin jaaungi main!,neutral
56,hum! hum nhi jaenge bete!,neutral
57,momma!!,joy
58,chalo inki katti khatam ho gyi!,joy
59,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",joy
60,radha bai! vitthal! monisha!,neutral
61,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",fear
62,tumhari favourite jeans mein itna bada chhed hai!,disgust
63,han to aajkal wo chhed wale kapde pehna fashion mein hai.,neutral
