,Unnamed: 0,Translated_Utterance,Emotion
0,0,मैं भी मेरी कंपनी केएल से जीआर सिस्टम में संक्रमण पर बिंदु व्यक्ति था।,neutral
1,1,क्या आप अपने हाथों को पूरा करना चाहते हैं,neutral
2,2,मैंने किया। मैंने किया।,neutral
3,3,तो चलो अपने कर्तव्यों के बारे में थोड़ा बात करते हैं।,neutral
4,4,मेरे कर्तव्य ठीक है।,surprise
5,5,अब तुम,neutral
6,6,मैं देखता हूँ।,neutral
7,7,लेकिन वहाँ शायद आप के तहत  लोग होंगे तो आप उन पर एक निश्चित राशि डंप कर सकते हैं।,neutral
8,8,जानना अच्छा है।,neutral
9,9,हम विस्तार से जा सकते हैं,neutral
10,10,मैं तुम्हें नहीं जानता,fear
11,11,इसके बाद हम आपको सोमवार को आपके लिए निश्चित जवाब देंगे लेकिन मुझे लगता है कि मैं कुछ विश्वासों के साथ कह सकता हूं आप,neutral
12,12,वास्तव में,surprise
13,13,बिल्कुल। आप आराम कर सकते हैं आपने बहुत अच्छा किया।,neutral
14,14,लेकिन फिर कौन मैं पिछले महीने से बाहर निकल गया,surprise
15,16,नहीं नहीं कौन थे,surprise
16,18,ठीक,neutral
17,19,ठीक है अच्छी तरह से,neutral
18,22,हाँ,neutral
19,23,हे मॉन।,neutral
20,24,हेheyhey। आप कुछ ऐसा सुनना चाहते हैं जो बेकार है।,neutral
21,25,मैं कभी नहीं हूँ।,joy
22,26,क्रिस कहते हैं कि वे बार को बंद कर रहे हैं।,sadness
23,27,नहीं,surprise
24,28,हाँ जाहिरा तौर पर वे इसे किसी तरह के कॉफी स्थान में बदल रहे हैं।,neutral
25,30,मुझे मिला।,sadness
26,31,क्या मुझे बियर मिल सकता है,neutral
27,32,हे क्या आपने रूममेट को चुना,neutral
28,33,You betcha,joy
29,34,क्या यह इतालवी लड़का है,neutral
30,36,हे मेरे परमेश्वर Poor Monica,surprise
31,37,क्या क्या,surprise
32,38,क्या,surprise
33,39,वह उसके साथ थे जब उन्होंने इस कविता को लिखा था।,neutral
34,40,देखो मेरे बर्तन इतना खाली नहीं के साथ अंदर।,neutral
35,41,अब मैं तुम्हें छू गया हूँ तुम अभी भी साम्राज्यवादी लग रहा है। ,neutral
36,42,वह सोचता है कि मोनिका खाली है वह खाली फूलदान है,surprise
37,44,ओह पूरी तरह से। ओह भगवान ओह वह भी बहुत खुश लग रहा था।,sadness
38,45,Done,neutral
39,48,आप यहाँ क्या कर रहे हैं,surprise
40,49,The इमारत मेरे पेपर मार्ग पर है इसलिए मैं ,neutral
41,50,ओह,neutral
42,51,नमस्ते।,neutral
43,52,नमस्ते।,neutral
44,53,कैसे,neutral
45,54,ओह अच्छी तरह से मैंने जिस महिला के साथ साक्षात्कार किया वह बहुत कठिन था लेकिन मैं भगवान मार्क को धन्यवाद देना चाहता हूं क्योंकि एक बार मैंने पतन लाइन के बारे में बात करना शुरू कर दिया उसे सभी खुश हो गया और क्या बंद हो गया।,joy
46,55,मुझे तुम पर गर्व है।,joy
47,56,मुझे भी,joy
48,58,मुझे पता है।,neutral
49,59,हाँ।,neutral
50,60,हाँ।,neutral
51,61,American,neutral
52,62,Americcan,neutral
53,63,American Yknow it,neutral
54,64,हर कोई,surprise
55,65,गुड जॉय अच्छा शीर्ष पायदान,joy
56,66,आप इसे पसंद करते हैं आप वास्तव में इसे पसंद करते हैं,surprise
57,67,ओहहोहो हाँ,joy
58,68,वास्तव में कौन सा भाग,neutral
59,69,पूरी बात क्या हम जा सकते हैं,neutral
60,72,हे क्या के बारे में दृश्य के साथ kangaroo क्या आप उस हिस्से को पसंद करते हैं,neutral
61,74,तुम सो जाओ,anger
62,75,कोई kangaroo नहीं था,anger
63,77,कि,neutral
64,78,मैं आपको बाद में देखता हूँ।,neutral
65,79,क्या,sadness
66,80,मैं,sadness
67,81,मैं,sadness
68,82,देखो,surprise
69,85,उस पर पागल हो जाओ,anger
70,87,ठीक है देखो मुझे लगता है कि हमें राहेल को बताने की जरूरत है।,neutral
71,89,हाँ और यह मेरी इच्छा है कि उस अंगूठी की इच्छा है।,neutral
72,90,देखें अगर मैं उस अंगूठी के साथ दफन नहीं हूं तो मेरी आत्मा सभी अनंत काल के लिए जाल दुनिया को भटकने जा रही है।,neutral
73,91,ठीक है कि पर्याप्त शहद,neutral
74,92,मैं नहीं जानता हूँ। मुझे अंगूठी देखने चलो।,neutral
75,93,महान ठीक है यहाँ।,joy
76,94,ठीक है।,neutral
77,95,धन्यवाद। धन्यवाद। धन्यवाद और,joy
78,96,आप क्या कर रहे हैं,neutral
79,97,ओह आप जानते हैं सामान्य रूप से शिक्षण एरोबिक्स पार्टीिंग रास्ता बहुत ज्यादा।,neutral
80,98,ओह और अगर आप सोच रहे थे तो वे नए जेम्स बॉन्ड पोस्टर पर मेरे पैर हैं।,neutral
81,99,क्या आप एक पल में पकड़ सकते हैं मेरे पास एक और कॉल है। मैं उससे प्यार करता हूँ।,joy
82,100,मुझे पता है।,neutral
83,101,मैं वापस आ गया हूँ।,neutral
84,102,तो क्या हम एक साथ या क्या प्राप्त करते हैं,neutral
85,103,बिल्कुल। The day of the day क्या आप जानते हैं कि उह मध्य पर्क गांव में पांचish,neutral
86,104,मैं आपको फिर से देखता हूँ।,neutral
