,Translated_Utterance,Emotion
0,मैं भी मेरी कंपनी? केएल-5 से जीआर-6 सिस्टम में संक्रमण पर बिंदु व्यक्ति था।,neutral
1,क्या आप अपने हाथों को पूरा करना चाहते हैं?,neutral
2,मैंने किया। मैंने किया।,neutral
3,तो चलो? अपने कर्तव्यों के बारे में थोड़ा बात करते हैं।,neutral
4,मेरे कर्तव्य? ठीक है।,surprise
5,अब तुम??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,neutral
6,मैं देखता हूँ।,neutral
7,लेकिन वहाँ शायद आप के तहत 30 लोग होंगे तो आप उन पर एक निश्चित राशि डंप कर सकते हैं।,neutral
8,जानना अच्छा है।,neutral
9,हम विस्तार से जा सकते हैं,neutral
10,मैं तुम्हें नहीं जानता?,fear
11,"इसके बाद, हम आपको सोमवार को आपके लिए निश्चित जवाब देंगे, लेकिन मुझे लगता है कि मैं कुछ विश्वासों के साथ कह सकता हूं, आप?",neutral
12,वास्तव में?,surprise
13,बिल्कुल। आप आराम कर सकते हैं; आपने बहुत अच्छा किया।,neutral
14,लेकिन फिर कौन? मैं पिछले महीने से बाहर निकल गया?,surprise
15,आप जानते हैं? इसे भूल जाओ!,non-neutral
16,"नहीं, नहीं! कौन थे?",surprise
17,"नहीं, मैं वास्तव में नहीं जानता",non-neutral
18,ठीक!,neutral
19,"ठीक है, अच्छी तरह से...",neutral
20,मैं देख रहा हूँ कि क्या मैं रात के लिए एक कमरा प्राप्त कर सकता हूं और मैं ...,non-neutral
21,मैं आपको बाद में देखेंगे!,non-neutral
22,हाँ!,neutral
23,"हे, मॉन।",neutral
24,हे-hey-hey। आप कुछ ऐसा सुनना चाहते हैं जो बेकार है।,neutral
25,मैं कभी नहीं हूँ।,joy
26,क्रिस कहते हैं कि वे बार को बंद कर रहे हैं।,sadness
27,नहीं!,surprise
28,"हाँ, जाहिरा तौर पर वे? इसे किसी तरह के कॉफी स्थान में बदल रहे हैं।",neutral
29,कॉफी! अब हम कहाँ हैं?,non-neutral
